State,In-person Early Voting,No-Excuse Absentee,Absentee - Excuse Required,All-Mail Voting,Permanent Absentee Status
Alabama,0,0,1,0,0
Alaska,1,1,0,0,0
Arizona,1,1,0,0,1
Arkansas,1,0,1,0,0
California,1,1,0,0,1
Colorado,0,0,0,1,0
Connecticut,0,0,1,0,0
Delaware,0,0,1,0,0
D.C.,1,1,0,0,1
Florida,1,1,0,0,0
Georgia,1,1,0,0,0
Hawaii,1,1,0,0,1
Idaho,1,1,0,0,0
Illinois,1,1,0,0,0
Indiana,1,0,1,0,0
Iowa,1,1,0,0,0
Kansas,1,1,0,0,0
Kentucky,0,0,1,0,0
Louisiana,1,0,1,0,0
Maine,1,1,0,0,0
Maryland,1,1,0,0,0
Massachusetts,1,0,1,0,0
Michigan,0,0,1,0,0
Minnesota,1,1,0,0,1
Mississippi,0,0,1,0,0
Missouri,0,0,1,0,0
Montana,1,1,0,0,1
Nebraska,1,1,0,0,0
Nevada,1,1,0,0,1
New Hampshire,0,0,1,0,0
New Jersey,1,1,0,0,1
New Mexico,1,1,0,0,0
New York,0,0,1,0,0
North Carolina,1,1,0,0,0
North Dakota,1,1,0,0,0
Ohio,1,1,0,0,0
Oklahoma,1,1,0,0,0
Oregon,0,0,0,1,0
Pennsylvania,0,0,1,0,0
Rhode Island,0,0,1,0,0
South Carolina,0,0,1,0,0
South Dakota,1,1,0,0,0
Tennessee,1,0,1,0,0
Texas,1,0,1,0,0
Utah,1,1,0,0,1
Vermont,1,1,0,0,0
Virginia,0,0,1,0,0
Washington,0,0,0,1,0
West Virginia,1,0,1,0,0
Wisconsin,1,1,0,0,0
Wyoming,1,1,0,0,0
